PARTNER_ID,NAME1,PARTNER_TYPE,LAND1,REGIO,ZZSTAT,LOEVM,ZZEID,ERDAT
0001000034,DUVAL & SONS,C,US,MN,02,,207015B8-6219-4C3D-A662-5A15D3A09DE4,2010-07-09
0001000134,HUMMEL FARMS LLC,C,US,KS,02,,E0B72B0B-E477-42DC-A9DE-8FCEB9CEC62A,2024-11-07
0001000273,IVANOV LAND & CATTLE,C,US,SD,02,,2FBB9164-CD37-41C9-B86D-2AA43E03CE92,2019-11-25
0001000045,HOLLOWAY FARMS LLC,C,US,OH,02,,F46BA0C7-AD9F-49E2-8049-ED5875E010ED,2017-11-25
0001000069,HOLLOWAY & SONS,C,US,MN,02,,A7A68BD8-F623-4F44-A337-318C96FC821A,2022-03-05
0001000208,LOCKHART GRAIN CO,C,US,IN,02,,4B4BB8E7-16CE-463C-9E57-EA8A83C26511,2017-04-04
0001000047,QUANDT GRAIN CO,C,CA,ON,02,,2A6C187A-6912-4D82-AE7E-3162E5620534,2022-06-17
0001000131,WINTERS ACRES LTD,C,CA,MB,02,,04EAC314-A7F3-43BD-8C4F-F7954F39094E,2016-01-18
0001000209,BRENNER FARMS LLC,C,US,ND,02,,F402C8D1-F7F0-4DFA-A26B-C52AB0A3DD75,2022-01-14
0001000418,IVERSON D. AG ENTERPRISES,C,US,MN,02,,3FF584F8-AF44-46B9-84C0-173821D7399C,2018-12-25
0001000173,NORDIN FARMS,C,US,WI,02,,D6998EED-C84B-41A6-95AA-85706D83137A,2021-08-11
0001000295,MCALLISTER AGRI PARTNERS,C,BR,PR,02,,0F16490F-3182-487C-BA75-8D36426643ED,2021-03-29
0001000399,HUMMEL A. ACRES LTD,C,US,IL,03,,34CE5342-6A40-4A71-98E8-69980E138C5D,2010-01-22
0001000007,TOLLEFSON FARMS LLC,C,CA,AB,02,,205C90E3-D1FB-41BE-B905-47992A5857A7,2020-04-26
0001000257,ASHWORTH FARMING CO,C,US,MN,02,,99CB3D2D-B0BA-44E3-B553-37A7B66FE0BF,2023-02-09
0001000156,MARSH AGRI PARTNERS,C,CA,ON,02,,81AC85BF-044F-43AF-8647-E1B712842873,2012-05-03
0001000001,IVERSON AGRI PARTNERS,C,US,IN,02,,938AF5BA-8697-4EEC-A26F-7F5376F39FED,2012-01-15
0001000415,HOLLOWAY K. FARMS LLC,C,US,KS,02,,0D47333F-FD62-4DB7-9707-255CECD49A31,2024-08-26
0001000099,BAXTER GRAIN CO,C,CA,AB,02,,F5AA2132-DEFC-4D69-AE3E-2F0A5DB81E79,2010-08-17
0001000197,WINTERS & SONS,C,US,ND,02,,BF2919D1-783B-4902-80AA-8128DCA3FEC0,2010-06-10
