PLOT_ID,FARM_ID,PLOT_DESC,AREA_HA,LAND1,ZZSTAT,LOEVM,ZZEID,ERDAT
0004501211,0002000467,FLAT 120,109.5,CA,02,,905FD423-ABCA-4B9E-A17F-2680537422BE,2013-07-27
0004500621,0002000208,RIVER BOTTOM,92.1,CA,02,,912D9F36-88EC-40CA-A752-74D98641A2BA,2010-04-11
0004500790,0002000268,HOME FIELD,4.8,US,02,,553E6DC6-4535-4806-AFEB-AA99CFDF6A4D,2013-09-10
0004501187,0002000458,FLAT 120,70.1,CA,02,,E3C3CC80-B53F-4565-8C9C-410B5D8AFBFC,2018-06-03
0004500546,0002000182,OLD ORCHARD,87.0,US,02,,BBA37547-2D80-4EAD-86D1-6D61CB3BC191,2011-10-19
0004501157,0002000448,PIVOT 1,41.5,US,02,,EE4C5323-1EE1-4A40-8694-4C615EAA3566,2010-05-24
0004500848,0002000289,FLAT 120,20.7,CA,02,,05BC20BF-13F5-4F74-80DA-34B4995201F8,2015-11-07
0004501212,0002000467,GRAVEL PIT FIELD,115.1,CA,02,,718B510E-5D7B-4FF6-9A8F-BD72BC29BCD2,2020-06-19
0004500786,0002000267,TRIANGLE,20.8,US,02,,5C97E941-FD4F-40AF-B1D2-DD38DACE0A7A,2021-09-17
0004500073,0002000023,DRYLAND NORTH,50.8,CA,02,,E76127CD-B71B-47F8-B0BD-3E69CA27B7A0,2017-05-05
0004500689,0002000232,TRIANGLE,116.0,US,02,,DD2E5293-3FC9-4343-8F44-35F1FBF2AD48,2023-10-11
0004500696,0002000234,FENCE LINE 60,71.1,US,02,,B2BE96F7-2EE1-4B45-9359-F01C3748CBD3,2022-10-13
0004500943,0002000321,FENCE LINE 60,117.7,US,02,,82FFA5C2-EE92-4892-ADCD-B04E6301F157,2017-12-20
0004501452,0002000533,PIVOT 3,70.4,BR,02,,DEC68D65-5896-49B2-8408-A36D22E69A09,2025-04-22
0004500538,0002000179,RIVER BOTTOM,27.6,US,02,,1E7923FC-6929-4D7B-BBAC-94C3C60234F5,2020-07-20
0004500863,0002000292,CREEK FIELD,,CA,02,,20EDC3E6-CC8A-4E0C-9254-865AFE118395,2018-06-03
0004500693,0002000231,SANDY KNOLL,,US,02,,000AA960-FAF3-4F66-B61A-48C312FE06EA,2015-05-27
0004500488,0002000163,WINDMILL FIELD,60.2,US,02,,386198B3-8F4E-496F-BD40-6BBD36DE8EFC,2010-12-22
0004500482,0002000161,RIVER BOTTOM,24.2,US,02,,2B0D261E-A286-4C2C-8974-C875A89FC467,2014-06-17
0004500593,0002000199,RIVER BOTTOM,55.5,CA,02,,599207A8-06E5-4E5D-9921-1FD0FDD125EF,2012-10-21
0004501493,0002000545,HOME FIELD,109.2,BR,02,,C5DA3664-EA3B-4EB6-8E7C-7E354F772B3C,2014-12-20
0004501681,0002000649,BIG FIELD,58.8,US,02,,00000000-0000-0000-0000-000000000000,2017-09-06
0004500297,0002000099,PIVOT 2,,US,02,,310930E1-2A7F-48B4-9168-F52889E4E2FE,2014-06-25
0004500268,0002000088,SOUTH 40,32.2,CA,02,,1E38F775-6E52-450D-9A44-9CEAFCEAFA46,2023-06-03
0004500808,0002000274,TRIANGLE,93.7,US,02,,C7AC6DE0-5C72-41C6-8F29-0318272349DB,2023-11-13
0004501690,0002000652,PIVOT 2,47.8,US,02,,00000000-0000-0000-0000-000000000000,2020-10-22
0004500853,0002000291,HIGHWAY FIELD,92.8,CA,02,,EF49DE1A-4BCD-4B93-AC02-3E87B966EC68,2020-11-19
0004500806,0002000271,PIVOT 2,51.4,US,02,,697E4488-3725-4207-9A95-044309B8D98D,2024-04-09
0004501113,0002000432,DRYLAND SOUTH,53.9,US,02,,EB442451-A478-4958-820F-11A16169BF27,2016-09-01
0004501555,0002000586,PIVOT 3,123.1,CA,03,,1C5CDFA2-2610-4BB4-9D67-81D9677B477F,2023-07-03
0004501250,0002000478,CREEK FIELD,52.9,US,02,,946ECF74-C83D-491E-94D8-802343AF9863,2024-08-16
0004500985,0002000349,BENCH FIELD,95.6,CA,02,X,F6CD363F-54F9-40E1-A358-003EEE151BBE,2021-02-23
0004501292,0002000490,TRIANGLE,11.1,CA,02,,AEB3EE0F-89C9-49D7-A90F-2A7323A17670,2014-02-04
0004501607,0002000618,PIVOT 3,63.6,US,02,,D0627D4E-4645-4193-BD7B-5D1900514EB6,2014-12-01
0004500368,0002000123,GRAVEL PIT FIELD,93.3,US,02,,3BC70D3A-3CBF-46F4-B076-6829B011E9A4,2023-07-15
0004500835,0002000284,CREEK FIELD,71.0,US,02,,8D403DEB-D4B4-4EDA-852C-FB354A25F342,2025-05-09
0004500088,0002000031,FENCE LINE 60,129.4,CA,02,,A671FA54-62BE-42E6-BEB5-ADCA5AF4EEE1,2010-04-20
0004500582,0002000195,ROCK PILE,91.9,US,02,,F1A25A9C-528D-435E-A411-1123DB8244FE,2019-07-08
0004500219,0002000073,FLAT 120,126.8,US,02,,A79DBD70-5CB4-4D70-964B-71F324337945,2018-10-09
0004500208,0002000069,TRIANGLE,52.8,US,02,,CF468533-2005-4CAC-B4C3-EE4BA9924A20,2017-09-30
0004501014,0002000382,SCHOOLHOUSE FIELD,67.9,US,02,X,44216893-6958-4AC7-A319-7239E17C763F,2022-05-19
0004501278,0002000486,EAST QUARTER,124.4,CA,02,,04C4DECA-866E-41CC-9F5D-DA62E12CC836,2019-09-29
0004501619,0002000623,LONG STRIP,119.8,US,02,,AD65FF2F-BE68-43A9-991D-98A552258AD7,2010-02-17
0004500602,0002000203,TRIANGLE,51.8,CA,02,,B4E2B106-9B9D-4B91-9192-3221B4D3F271,2018-10-20
0004500395,0002000131,WEST 160,5.8,CA,02,,16DDF486-76CD-484E-9A6E-86D2861A941F,2015-03-18
0004500948,0002000320,FLAT 120,75.0,US,02,,9E19F5E9-D4AC-4157-90BE-EAD59A46E88C,2010-03-17
0004500300,0002000100,FLAT 120,87.5,US,02,,6459BCAC-8F99-4E4F-A3D2-DC4770C2AF8D,2019-04-23
0004500231,0002000075,FLAT 120,,US,02,,E7939E4A-3F9B-461B-9C28-BB18FC910590,2021-01-07
0004500080,0002000027,LONG STRIP,44.8,US,02,,68FFCBB5-040E-4C1C-B1DA-974DB1EBD966,2012-07-07
0004501504,0002000548,CREEK FIELD,77.5,BR,02,,B6272F24-7576-42F9-B425-2C51B8B75778,2016-02-02
0004501697,0002000655,HIGHWAY FIELD,61.5,US,02,,8B98D252-78E1-494D-855A-0BC634BCF0DC,2010-01-23
0004500681,0002000228,BENCH FIELD,53.1,US,02,,5F218780-F668-48E5-B45C-716604534DD4,2012-05-30
0004501418,0002000525,NORTH 80,123.5,BR,02,,6672C5AC-1A79-40EB-BDBB-0D9137916DD3,2012-11-04
0004501283,0002000487,SCHOOLHOUSE FIELD,96.8,US,02,,B4508D09-D54C-46B0-87C0-DC23884BD319,2018-08-09
0004501034,0002000400,SANDY KNOLL,8.9,US,02,,,2021-02-04
0004500135,0002000044,FENCE LINE 60,77.6,US,02,,944C13A1-77C1-4EA3-A179-83AC9CB0398D,2018-02-12
0004500034,0002000010,HIGHWAY FIELD,126.8,CA,02,,3E3D9FB6-6C4A-4F39-8E13-8C4B0001ACE6,2019-08-29
0004500915,0002000311,PIVOT 3,,CA,02,,883A8853-86E9-4838-BE76-5585A5B7B8E7,2014-11-13
0004501684,0002000650,PIVOT 2,100.0,US,02,,00000000-0000-0000-0000-000000000000,2010-10-10
0004501344,0002000505,EAST QUARTER,25.5,CA,02,,B181F375-B428-43BD-A591-CA7FFF95DD5F,2016-08-07
0004501193,0002000460,WINDMILL FIELD,121.4,US,02,,1CC56FDD-03A5-41F7-B5D2-2A3C71A0FBAC,2011-05-31
0004500277,0002000092,PIVOT 2,93.7,US,02,,766636C2-D2CA-405D-8008-14F7C42116C5,2018-02-09
0004501026,0002000393,CORNER PIECE,100.6,CA,02,X,D3C2BEAF-1AE9-4AE0-B509-35BD607BD4C5,2023-08-07
0004501151,0002000445,FENCE LINE 60,78.8,US,02,,0995255E-05C4-47EB-8246-71468825E405,2018-09-28
0004500330,0002000110,CREEK FIELD,92.8,CA,02,,B7D3B827-FB4F-49A6-8C13-A2ED478F596D,2024-07-25
0004500449,0002000150,WEST 160,52.7,US,02,,CD79C32B-03A4-4FFF-A161-CBBA60FB9A26,2025-12-21
0004500106,0002000036,FLAT 120,34.4,US,02,,D0902699-3E50-4557-88F6-4D87E6C3106B,2023-03-16
0004501006,0002000371,SANDY KNOLL,39.8,CA,02,,,2021-11-21
0004500701,0002000237,BIG FIELD,108.4,US,02,,8B850AC2-633D-4BB0-867B-6BCC57780ADF,2018-10-17
0004500342,0002000113,WEST 160,106.2,CA,02,,FBCC3406-71E9-4A84-8EF3-FBCC4ECBB14F,2018-01-28
0004501101,0002000428,SLOUGH FIELD,102.1,US,02,,6F0DDF51-C2F1-4928-AAC5-4ECE55414F74,2021-11-11
0004500817,0002000275,WEST 160,7.7,US,02,,A417E842-2EDC-46E2-81C6-9FB0FA7B9240,2011-10-26
0004500530,0002000178,DRYLAND SOUTH,29.1,CA,02,,14374DBC-7B4B-4B8A-B64F-1AC13A5919BD,2013-12-03
0004500205,0002000069,ROCK PILE,119.6,US,02,,FE9B06C2-5489-4AFC-B83C-ADB2E0C9082C,2015-02-20
0004500481,0002000161,CREEK FIELD,105.1,US,02,,9E939F1D-A74E-4F60-9D82-3EAE811F0492,2022-04-17
0004500876,0002000299,NORTH 80,84.9,CA,02,,D7688FC1-766E-4E2F-B5E4-063D578AB64C,2012-08-07
0004500037,0002000011,SCHOOLHOUSE FIELD,61.2,US,02,,88B7E205-0111-4D49-AC20-B32CEC50594C,2018-08-23
0004501041,0002000405,CREEK FIELD,34.0,US,02,X,64F7F66A-645B-497F-811E-F9715F067A38,2018-02-03
0004500608,0002000202,OLD ORCHARD,44.2,CA,02,,58C55152-84EA-4D41-AF86-E4F9E43434CF,2018-10-04
0004501264,0002000482,NORTH 80,65.6,CA,02,,22597DEB-DA07-4E62-912B-0A3CE1008627,2011-06-21
0004500953,0002000323,GRAVEL PIT FIELD,99.5,US,02,,DB44431C-3898-40EF-93E8-C4B59D578DDB,2017-07-06
0004500630,0002000212,BIG FIELD,90.9,US,02,,EA2ABC1F-3D03-47A9-AF05-68F9A71FF55B,2014-09-09
0004500248,0002000081,TRIANGLE,96.0,US,02,,5E159700-167A-4489-9EB2-9A23DEE39959,2020-10-28
0004501657,0002000642,FENCE LINE 60,39.3,US,02,,4679B191-D3ED-4277-A57D-4C43BF0F309C,2023-07-13
0004501385,0002000517,FENCE LINE 60,78.1,BR,02,,03FE0F78-A641-4734-9688-6D2DA0D92C69,2013-02-23
0004500417,0002000138,BENCH FIELD,26.0,CA,02,,2C993988-89E1-4358-ACEF-2F1E1C6C0AA1,2021-08-10
0004500666,0002000223,CREEK FIELD,29.0,US,02,,F01FADFD-2DF4-4F18-BA23-A4B7BD6257A9,2019-12-07
0004501254,0002000479,SOUTH 40,15.2,US,02,,ADA9B1EA-9FF1-4577-8ADC-80728E8A59A5,2014-04-15
0004501171,0002000452,SOUTH 40,53.1,US,02,,ACC3ECE5-0AFA-44FE-ACD6-078CE789A9A9,2020-03-07
0004500918,0002000311,SLOUGH FIELD,92.1,CA,02,,1FF626B9-AA9F-485B-A0E1-73BF93CC9164,2012-11-13
0004500201,0002000065,GRAVEL PIT FIELD,41.5,US,02,,A1A8043E-F0E1-4CB0-8D36-50B569EF2A95,2025-11-01
0004500996,0002000362,WEST 160,8.5,CA,02,X,0AE54301-F841-45A0-A5C2-CA3C35A42770,2012-09-14
0004500074,0002000025,HOME FIELD,27.5,US,02,,0A8E0780-7D06-4F20-8849-DEDB01223B35,2024-03-17
0004500272,0002000090,BIG FIELD,41.9,US,02,,1CA66023-EF69-425B-9ECD-238F65541582,2021-10-13
0004501400,0002000521,CORNER PIECE,,BR,02,,B43744E2-8D7D-47DB-8DFB-94D45B526A6C,2019-07-16
0004501124,0002000437,SOUTH 40,83.6,CA,02,,73AAEFE5-E1C7-4697-9440-43C1EE29FA3F,2013-12-02
0004500566,0002000191,DRYLAND SOUTH,107.9,US,02,,80435D5A-D396-405F-8BFE-2E12AE843FB2,2020-10-12
0004500494,0002000165,HIGHWAY FIELD,122.9,CA,02,,D27C3BD8-3E4E-4E8D-801E-97D97E249499,2019-04-20
0004501233,0002000473,DRYLAND NORTH,29.4,US,02,,A370941B-7C26-4AF1-9F10-B7366ABB7C53,2012-10-07
0004500281,0002000093,CORNER PIECE,50.0,US,02,,719EC9F0-092D-4AC6-917E-0F654618D5FD,2023-03-01
0004501352,0002000508,NORTH 80,64.6,BR,02,,F60489FF-9577-44C8-A3DB-6767505494DB,2010-10-04
0004501122,0002000437,WINDMILL FIELD,80.1,CA,02,,1BD8000A-CCA8-4763-BE6D-60F0B93DDF20,2014-04-26
0004500184,0002000061,BENCH FIELD,69.4,US,02,,AC61F5A1-67F3-4B75-8777-1E532C7429AB,2012-12-24
