farmer_id,farmer_name,status,is_test,country_code,enterprise_id,created_at,updated_at
ad-fmr-000150,Jablonski Farms,active,false,USA,d2435b4a-505a-42a6-868b-16d596403583,2025-11-13T15:27:19Z,2026-04-07T06:56:41Z
ad-fmr-000020,Callahan Land & Cattle,active,false,CAN,a6897331-8a77-4f22-bcd5-8f7ba099ad60,2024-11-14T06:12:01Z,2025-04-01T18:54:13Z
ad-fmr-000039,Dietrich Family Farms Inc,active,false,USA,d40f7745-4e3f-49e5-8b10-8835d6a0a433,2026-04-20T11:52:49Z,2026-05-06T13:43:12Z
ad-fmr-000079,Boudreau Agri Partners,active,false,USA,5f6cdb60-3002-41ad-9963-855c7f51e50f,2026-03-02T11:49:35Z,
ad-fmr-000072,Iverson Farms LLC,active,false,USA,3e1030f9-92dc-49ef-bcae-abaf6cf9b48c,2026-03-02T19:31:21Z,2026-03-09T00:38:22Z
ad-fmr-000255,Iverson N. Grain Co,active,true,USA,c60b20e6-03f5-4e51-aa96-1ba444f0999d,2024-11-13T16:07:42Z,2025-08-14T21:54:08Z
ad-fmr-000320,Ivanov D. Ag Enterprises,active,false,USA,f6689e54-3c10-49a5-bfdc-f0723e9bc9c3,2025-11-10T12:06:35Z,2026-02-14T04:49:05Z
ad-fmr-000203,Thompson Farms LLC,active,false,USA,4b71bcc6-e7d3-414c-a75d-754e94e2edf8,2025-01-16T10:44:21Z,
ad-fmr-000118,Ivanov Grain Co,active,false,USA,41966616-f277-4775-9251-b262a94d3aed,2026-01-14T14:59:53Z,
ad-fmr-000058,Lockhart Farming Co,active,false,USA,38bfd412-82ca-43af-bbf6-8328aaf2cf44,2025-09-25T14:31:57Z,2025-12-15T00:47:28Z
ad-fmr-000055,Dietrich Acres Ltd,active,false,USA,f5b94699-a6cb-4f1b-95ce-40201d74a3f2,2025-09-25T11:51:41Z,
ad-fmr-000112,Castellano Ag Enterprises,active,false,USA,235c4824-b624-404e-8c98-20e53c40d4c7,2025-06-11T18:55:35Z,2026-05-17T14:25:52Z
ad-fmr-000017,Jablonski Land & Cattle,active,false,USA,164e5fee-f62f-4901-824b-55a6459ab52c,2026-04-22T15:36:05Z,
ad-fmr-000269,Whitaker N. & Sons,inactive,false,CAN,c1caf83e-1b5d-43e0-82e1-96b897c63ef2,2024-11-11T16:37:36Z,2026-03-13T06:49:58Z
ad-fmr-000308,Yoder F. Land & Cattle,active,false,USA,5f4c65d1-4715-462a-8d83-11df549edd7c,2025-08-04T13:48:45Z,
ad-fmr-000201,Callahan Ag Enterprises,active,false,USA,ee5629ee-bf60-4b3f-ad2e-6ba5dc22edf7,2026-01-15T12:20:28Z,
ad-fmr-000272,Duval L. Ag Enterprises,inactive,false,USA,2104b17d-c7ed-4673-af3b-f54d3774784f,2025-01-14T09:20:57Z,
ad-fmr-000075,Brenner Farming Co,active,false,CAN,13be7d95-4600-4984-a175-2d80230686e3,2024-11-12T16:20:04Z,
ad-fmr-000044,Lockhart Farms LLC,active,false,CAN,63879534-cc46-437e-b783-27911f1e3f5a,2025-09-22T12:12:46Z,2026-03-25T01:18:42Z
ad-fmr-000137,Jablonski & Sons,active,false,USA,af6b6157-8005-4fd9-98e6-68c9e2b41407,2025-03-03T07:30:35Z,2025-12-16T07:40:25Z
ad-fmr-000024,Merriweather Agri Partners,active,false,USA,b6df4dc9-6f61-4b21-bf00-30f9cea1fbce,2026-03-05T13:58:59Z,
ad-fmr-000032,Winters Family Farms Inc,active,false,USA,7ccd317b-dff5-486d-89c2-da1be3c88e5c,2024-10-07T10:51:31Z,2025-02-15T03:00:54Z
ad-fmr-000094,Quandt Family Farms Inc,active,false,USA,9ae87ac5-49c1-405f-8f06-9d2c6c507bed,2026-04-20T14:19:29Z,
ad-fmr-000257,Kerrigan D. Grain Co,inactive,true,CAN,5c8f0777-3c0d-4a38-90ec-8dc65205d3eb,2025-11-11T18:46:53Z,2026-03-26T11:06:09Z
ad-fmr-000291,Underhill D. Acres Ltd,archived,false,USA,7d0d0296-ee4e-44de-a4b2-9560352fc597,2024-11-13T15:06:51Z,2024-12-19T14:23:33Z
ad-fmr-000279,Ivanov H. Grain Co,inactive,false,USA,a0e577c6-239e-44be-a72f-3dc7c0d1aa5b,2025-01-13T17:49:51Z,2026-01-23T17:52:59Z
ad-fmr-000161,Prescott Farms,active,false,USA,510eb8b1-390c-4d08-affd-b65efa954191,2024-10-05T09:40:10Z,
ad-fmr-000264,Ivanov S. Farms LLC,archived,false,USA,dcfe64a8-4fef-4ac2-9ab4-187bd29758ef,2025-04-21T16:38:19Z,2025-07-19T05:18:43Z
ad-fmr-000101,Vandermeer Family Farms Inc,active,false,USA,349c0c04-6e6d-4ca4-8610-f0cd23bb7cf7,2025-11-11T08:03:58Z,2025-12-30T12:27:17Z
ad-fmr-000179,Marsh Acres Ltd,active,false,USA,da02cab4-b83a-4a2f-8f8e-4605bc2a9f04,2025-01-16T15:19:14Z,
ad-fmr-000023,Vandermeer Grain Co,active,false,CAN,fb3b5da0-ebfd-4610-956d-cc7e71ee73e7,2025-01-15T20:00:52Z,2026-01-06T07:08:08Z
ad-fmr-000086,Reyes Grain Co,active,false,USA,f3ebd0cd-363e-45f0-8d26-b80b2c9fefac,2025-09-24T11:22:19Z,
ad-fmr-000249,Duval C. Acres Ltd,active,true,CAN,6dfd5c24-8de6-414d-ab5c-0a945a526834,2025-03-06T07:06:05Z,
ad-fmr-000288,Okafor D. & Sons,archived,false,CAN,75c7e0ef-d5f9-4aba-b1d1-3ee9af8f6689,2025-08-07T11:58:38Z,2026-01-04T15:14:46Z
ad-fmr-000252,Hummel G. Acres Ltd,archived,true,CAN,9b3bd95f-ea7b-4db2-9182-8015a3c8b634,2024-11-13T20:15:44Z,2025-08-12T06:58:07Z
ad-fmr-000096,Bergstrom Farming Co,active,false,USA,bd529115-ef9d-4fae-945e-57fa7809718c,2025-11-12T12:06:32Z,2025-11-20T15:08:58Z
ad-fmr-000318,McAllister S. Grain Co,active,false,USA,87270ea2-2fbb-4cbf-9963-5776b7937379,2026-04-20T09:00:22Z,
ad-fmr-000211,Prescott Grain Co,active,false,CAN,6b31a10a-14ba-4323-accf-60e2c78c12a2,2025-06-10T09:58:14Z,2025-06-26T14:42:40Z
ad-fmr-000215,Baxter Agri Partners,active,false,CAN,59712aa2-6d8a-43f9-b152-3336d120e9bc,2025-08-05T09:06:01Z,2026-03-19T06:23:34Z
ad-fmr-000259,Holloway E. Family Farms Inc,active,true,CAN,2090ac1f-d08b-4407-af92-f5ed3e4b28c6,2026-03-04T19:30:00Z,
ad-fmr-000041,Kerrigan Farming Co,active,false,USA,c7ef1994-8377-4046-87fd-10fef7d57345,2024-11-13T14:49:37Z,
ad-fmr-000167,Marsh Farms LLC,active,false,CAN,9aaf4853-2890-44fa-84f6-97f5c7f2727c,2025-06-11T14:58:02Z,2025-10-27T08:48:19Z
ad-fmr-000125,Castellano Grain Co,active,false,USA,e778449a-2580-4955-af72-f5b1852ba652,2024-11-11T16:18:55Z,2026-03-28T03:24:55Z
ad-fmr-000299,Hummel A. Acres Ltd,inactive,false,USA,34ce5342-6a40-4a71-98e8-69980e138c5d,2025-01-13T12:10:09Z,2025-02-02T22:01:37Z
ad-fmr-000061,Winters Farming Co,active,false,CAN,d6bdfb78-49d7-4052-8d78-666b5b2b92fa,2024-10-08T19:34:16Z,2025-03-01T05:14:33Z
ad-fmr-000225,Duval Land & Cattle,active,false,USA,133db446-02f8-4be9-a31e-6b49d8ab27b2,2025-01-16T09:40:25Z,2025-05-17T14:36:51Z
ad-fmr-000186,Crenshaw & Sons,active,false,CAN,b95f0151-aec6-493d-a8fa-391e5e9e4428,2024-10-06T16:56:35Z,2025-06-19T11:49:19Z
ad-fmr-000122,Falkner Family Farms Inc,active,false,CAN,7bf6a455-6042-4db8-bb2e-4a3b705de409,2025-08-07T18:02:48Z,2026-04-02T02:15:41Z
ad-fmr-000138,Pemberton Agri Partners,active,false,CAN,5a85f342-cd4d-4320-8fd6-a4549034c49f,2025-06-12T20:46:49Z,
ad-fmr-000194,Oberlin Acres Ltd,active,false,USA,ef27fbb2-198a-498e-bf4d-e288547458f2,2026-04-20T20:50:11Z,2026-04-27T13:46:35Z
ad-fmr-000300,Falkner D. Grain Co,inactive,false,CAN,3f3e3b69-f9d6-400a-b755-c6b714e3b03c,2025-08-06T06:06:54Z,2025-10-13T16:55:59Z
ad-fmr-000277,Reyes D. Farms LLC,archived,false,CAN,97414b75-6b30-49d2-b140-69357b35af16,2024-10-06T12:57:42Z,
ad-fmr-000219,Thompson Land & Cattle,active,false,CAN,3b8e6803-a958-4dc3-baa4-0172899ef4fe,2025-04-21T09:31:23Z,
ad-fmr-000033,Ashworth Grain Co,active,false,USA,a7228836-33ec-4f69-a98f-91005f411604,2026-04-22T18:31:45Z,
ad-fmr-000071,Eastman Agri Partners,active,false,CAN,42abb0f4-ca6c-451c-9e3f-41f7d0248bef,2025-06-11T07:11:59Z,2025-12-22T19:36:04Z
ad-fmr-000187,Ziegler & Sons,active,false,USA,fba4ecb6-28a7-479f-b46b-c2ed61f7340f,2025-01-16T19:05:30Z,2026-02-17T21:04:45Z
