field_id,farm_id,field_nm,stat_cd,field_use_cd,acres,country,entrpr_guid,crt_dt,upd_dt
110677,50227,Back 40,A,PROD,24.7,Canada,1592f996-63ce-40a7-aea4-3019e16603e6,2017-11-19,2021-02-23
110719,50243,Corner Piece,A,PROD,160.4,United States,32aa16e3-1bb6-42cc-9c60-117b12c5d5f7,2011-11-18,
110884,50300,Pivot 2,A,PROD,106.3,United States,c2c8054c-ab3a-41d1-b355-f7367b9f97d2,2019-08-07,
111505,50525,Windmill Field,A,PROD,115.9,Australia,d8a86dfe-8c6f-4225-8bde-f2727b8f80d1,2023-12-26,
111029,50347,Slough Field,A,PROD,319.3,United States,af033de4-b774-4f57-bfc5-de541a12c8af,2013-01-14,2024-03-06
110033,50010,Home Field,A,PROD,168.3,Canada,bda04cbe-88e6-4231-9a74-b85c6fef2e2b,2011-01-28,
111653,50580,Corner Piece,I,PROD,47.4,Canada,75fb0cd5-bf41-4a0a-a0b7-b4c1c74cfab8,2017-07-07,2017-09-06
110944,50320,Dryland North,A,PROD,295.3,United States,2835e644-ad2b-40e9-b5d1-f2b9a076d420,2015-02-24,2018-12-01
111552,50538,Trial Strip 29,A,TRIAL,282.7,United States,550b6ecc-bb24-4224-ab62-e5fcaf88d250,2015-05-29,2025-11-03
111717,50611,Pivot 2,A,PROD,,United States,00000000-0000-0000-0000-000000000000,2020-12-25,
111515,50528,Trial Strip 23,A,TRIAL,257.5,United States,b1d8bddb-0404-4794-abac-6c812c14332a,2018-03-20,2020-12-17
110120,50041,Rock Pile,A,PROD,254.8,United States,873d977a-cd32-43f2-97fa-581f219c19b5,2021-04-02,2023-08-13
111009,50343,Big Field,A,PROD,298.5,Canada,082c1aa1-10e1-4a94-89e5-9c6a7fe22a3a,2023-01-18,2025-08-26
110225,50074,Triangle,A,PROD,200.7,United States,43d25406-6555-4ee0-95f3-bcfab98a2272,2019-02-12,
111613,50557,Creek Field,P,PROD,107.7,United States,96e5e0f3-ea90-4a9b-8e28-3122dfeaca46,2013-07-18,
111357,50484,Dryland South,A,PROD,69.4,Australia,c618ef55-5682-4147-ad64-1e7679f536d0,2014-05-14,2026-01-18
110855,50290,Pivot 1,A,PROD,312.8,United States,,2013-06-24,2021-03-18
111652,50579,Rock Pile,I,PROD,294.6,United States,5f5ac059-2082-47be-bd1f-1eaf537d7247,2013-04-06,2016-01-09
110281,50093,Corner Piece,A,PROD,123.6,United States,719ec9f0-092d-4ac6-917e-0f654618d5fd,2011-12-02,2025-08-09
111393,50494,Big Field,A,PROD,146.5,Australia,f8f88702-96ba-4170-b94c-06f022ba9a1c,2012-03-14,2017-09-27
110014,50004,River Bottom,A,PROD,123.8,United States,02b016bb-2ba4-4aa5-8b4b-14a9c06a2ee3,2023-02-19,2023-12-01
110472,50157,Home Field,A,PROD,96.1,United States,1f2e9aa0-e099-4270-8f04-db0ff962a9b5,2014-05-01,2025-12-06
110879,50296,Big Field,A,PROD,92.2,United States,ed842942-5ebb-4920-a117-be363858bc51,2020-10-21,2021-12-17
110563,50187,Pivot 2,A,PROD,214.0,Canada,ece6b9d0-e5ff-43f3-99a8-505fde92dc05,2013-05-26,
110202,50065,Windmill Field,A,PROD,286.9,United States,9075e67f-8d8f-4bce-ae3b-0032eef1e076,2017-03-20,2017-04-30
