FARM_ID,PARTNER_ID,FARM_DESC,LAND1,REGIO,ZZSTAT,LOEVM,ZZEID,ERDAT
0002000427,0001000237,RASMUSSEN RIDGE QUARTER,US,MO,02,,C15DADB1-5920-4702-86B4-05975DD0C15D,2024-12-02
0002000464,0001000256,YODER RIDGE QUARTER,CA,SK,02,,6CEFC8B6-CD77-4FCB-80B4-87262FED2342,2011-12-21
0002000402,0001000223,JABLONSKI OLD FARM,US,IN,02,,7C94C08D-942B-4E9B-AFDA-0B77F62B6C2C,2010-02-18
0002000089,0001000048,JABLONSKI NORTH RANCH,CA,AB,02,,88F5015C-4BD5-45E8-B66D-16A87113D692,2016-08-20
0002000551,0001000316,ASHWORTH RIVER PLACE,US,ND,02,,3C716894-8DB7-403A-A60F-D3C3214C3AE9,2012-01-29
0002000143,0001000079,GIRARD RIVER GROUND,US,KS,02,,3F4CDEF0-DEDF-4DE6-931E-0D817E9BB309,2013-03-10
0002000547,0001000312,HOLLOWAY WEST PLACE,US,ND,02,,96A50E7D-74B3-48B8-9347-25E549BAC4F7,2016-12-25
0002000573,0001000333,CASTELLANO RIDGE PLACE,BR,GO,02,,B4D9AACE-6759-44E3-BD48-26C3FC4BA6D2,2012-03-20
0002000673,0001000426,ASHWORTH LOWER RANCH,US,IA,02,X,D366A8D5-5BD4-4616-A949-0FF99CE4C12C,2016-02-25
0002000552,0001000317,DELACROIX HILLTOP FARM,US,KS,02,,8E79A82C-EEBE-448B-9BDB-A5964015F813,2016-02-10
0002000247,0001000136,NORDIN RIDGE FARM,CA,SK,02,,5F4AC2AC-8B57-422C-B328-A54F4A696B6D,2011-05-27
0002000134,0001000074,NOVAK WEST HOMESTEAD,US,ND,02,,4A4E2E12-DE22-4469-8C8B-F310839B540F,2018-07-06
0002000292,0001000162,MERRIWEATHER OLD RANCH,CA,SK,02,,AF01FA12-6EB5-4B7C-8106-124E32E94191,2021-11-06
0002000555,0001000320,HARTLEY SOUTH PLACE,CA,MB,02,,1215FCA3-58F2-43E5-99EC-A02880F91729,2013-08-07
0002000345,0001000194,VANDERMEER NORTH GROUND,CA,MB,02,,D9E56687-3914-4C38-997B-FF9EE508821B,2020-10-19
0002000233,0001000127,DRUMMOND RIVER RANCH,CA,ON,02,,BE91B8EA-16F0-42D2-95AE-EB767C3D34EF,2013-11-28
0002000228,0001000124,EASTMAN VALLEY FARM,US,MO,02,,52AA5BA1-6EE7-45E8-8DC4-EE16E778449A,2023-11-08
0002000432,0001000239,MCALLISTER SOUTH SECTION,CA,MB,02,,F3FBE7CC-7990-4732-B10F-E15544E852F0,2024-01-21
0002000629,0001000382,REYES VALLEY GROUND,US,MN,02,,97090B85-FDEF-4FB9-A486-C9839FAC70B9,2009-08-21
0002000086,0001000047,VANDERMEER NEW SECTION,US,MN,02,,032A445D-4F59-48C5-AF00-2B87FC494092,2021-04-30
0002000266,0001000148,ASHWORTH RIVER HOMESTEAD,US,ND,02,,BDCBEB84-1301-46CC-BAF4-F36850269EC6,2009-10-08
0002000049,0001000026,YODER CREEK PLACE,CA,MB,02,,2626606C-1013-42A3-B31F-3021FECDDA28,2011-09-02
0002000052,0001000028,THOMPSON UPPER SECTION,US,KS,02,,23DC564A-48E3-4202-A489-1CF18DB85934,2011-03-21
0002000617,0001000370,NORDIN WEST FARM,US,IN,02,,E64B1820-E8C1-43AA-9DFD-F1913CFCBFA8,2023-11-29
0002000156,0001000086,DIETRICH EAST GROUND,CA,SK,02,,92536E8B-ABF1-4FC2-8F1D-287B8798F2FF,2012-08-10
0002000379,0001000210,ALBRECHT VALLEY RANCH,CA,AB,02,,BD57D6E9-1F78-4FC3-B9D3-ADA425A992B1,2021-01-18
0002000585,0001000342,DUVAL RIVER GROUND,BR,GO,02,,B5BBA879-C11E-4BBC-B9C6-6C742B82F634,2012-12-30
0002000700,0001000453,WHITAKER LAKE QUARTER,CA,AB,02,,8B0E4129-DB1F-4067-8D47-A3E19E6544D2,2009-08-30
0002000420,0001000234,PEMBERTON SOUTH FARM,US,IN,02,,897D6A3A-7F7D-484C-929C-896AD171AD45,2012-09-20
0002000280,0001000156,UNDERHILL PRAIRIE RANCH,US,IA,02,,55542E6C-9D61-4184-9394-F36BABF42C47,2023-09-22
0002000315,0001000175,DIETRICH RIVER RANCH,US,SD,02,,EE7D93CF-2C40-4787-ADEA-5123C694CB11,2018-01-12
0002000456,0001000251,CRENSHAW VALLEY SECTION,US,NE,02,,4FD02A4A-E3F0-451B-8F9C-AA4B30B07841,2020-03-28
0002000429,0001000238,GIRARD EAST RANCH,US,MO,02,,F1CEBA67-1D1F-4199-8665-32B574C059C0,2009-09-07
0002000216,0001000119,DRUMMOND NEW FARM,US,OH,02,,03FA119F-4819-430E-8236-1CB92D37707F,2012-06-30
0002000149,0001000082,OKAFOR RIVER QUARTER,US,OH,02,,E0621968-1C4A-44FB-B64E-A554FA3F62D6,2015-07-10
0002000431,0001000239,MCALLISTER PRAIRIE QUARTER,CA,MB,02,,2DD5C379-D03D-4621-ADA0-279E9BFF410A,2018-07-29
0002000523,0001000288,KERRIGAN NORTH RANCH,US,OH,02,,C5BA4CE1-ACA2-419E-8A91-1BD886A2A427,2019-06-15
0002000328,0001000183,BRENNER NORTH FARM,US,MN,02,,A8BB0687-045E-4553-8F30-F62486EF27FC,2021-08-07
0002000055,0001000030,PEMBERTON RIDGE GROUND,CA,SK,02,,BE1B6C4C-DD0A-412F-B1C5-667362D58206,2022-08-13
0002000338,0001000190,IVANOV UPPER RANCH,US,IN,02,,64D9A7B1-C470-4013-8C39-9B83C286C5E0,2023-02-20
0002000062,0001000034,NOVAK RIDGE HOMESTEAD,US,MN,02,,8E8186EB-BD7C-4AE0-829D-516AEFCB46B0,2022-07-17
0002000298,0001000166,GIRARD CREEK GROUND,US,WI,02,,2023FF1F-7B27-4793-B1AD-4A13A594EDC0,2020-02-23
0002000060,0001000033,ALBRECHT NEW RANCH,CA,AB,02,,F2CAA579-25B6-44E4-99A1-556EF7B1FE8A,2009-04-15
0002000699,0001000452,NORDIN NEW RANCH,US,IL,02,,40CE6183-FC07-4A74-A800-35995D26CEF7,2016-03-05
0002000582,0001000340,CALLAHAN OLD FARM,BR,RS,02,,55533148-3101-4534-93DF-CB6EA90F9092,2024-01-22
0002000017,0001000008,DRUMMOND OLD HOMESTEAD,US,KS,02,,3F4CF044-48F4-413F-BC5C-4ABC2E66BDB8,2019-08-29
0002000460,0001000253,OBERLIN WEST SECTION,US,WI,02,,027FA83A-8464-46D0-A3FC-07D3A96706D5,2014-04-06
0002000294,0001000164,BERGSTROM HOME FARM,US,IA,02,,FEBDAA7B-E92D-4495-BDB4-D5E7A1AA2B76,2011-05-17
0002000172,0001000095,DIETRICH LAKE PLACE,US,IL,02,,7B7130A3-0EB1-41D5-AB3B-A555CF8548A0,2017-12-23
0002000179,0001000099,OBERLIN WEST GROUND,US,IL,02,,7589EB51-2742-420D-B422-5F8C1FD246B6,2010-03-25
0002000505,0001000277,ALBRECHT RIDGE GROUND,US,ND,02,,1E0C9E0A-2317-46EF-8DF3-FCE2644DF732,2010-01-08
0002000440,0001000244,HUMMEL WEST FARM,CA,ON,02,,16650F24-B97A-408E-9EBE-B61E5C937362,2023-12-01
0002000229,0001000125,DELACROIX CREEK RANCH,US,OH,02,,EB5E8DB3-C76F-41D5-BEF7-E5A4D03C30EB,2010-09-25
0002000045,0001000023,KOWALSKI HOME RANCH,US,IN,02,,CF9491C9-B3F4-46C8-B37D-F3A1BE0092EC,2018-10-24
0002000027,0001000013,IVANOV EAST FARM,US,ND,02,,DEFAA0F4-CF2A-4306-8A75-B23B6C781291,2011-07-08
0002000022,0001000011,MARSH HOME FARM,CA,AB,02,,9F0F03DE-1786-47C4-86FD-F5062E9AA97D,2024-11-19
0002000260,0001000144,THOMPSON WEST QUARTER,US,MO,02,,DC3DA072-981F-44A2-A79A-65F60ED59DB8,2015-11-08
0002000127,0001000071,IVANOV OLD QUARTER,CA,ON,02,,75729FF9-1565-45CC-814A-89A30732506E,2009-05-20
0002000268,0001000149,KOWALSKI NORTH QUARTER,CA,AB,02,,54A27819-F912-4747-BB91-F01F408EBDBB,2020-07-16
