field_id,farm_id,field_name,status,is_test,area_ha,enterprise_id,created_at,updated_at
ad-fld-000372,ad-frm-000152,Creek Field,active,false,117.7,63538622-9a26-4a2b-8a8c-3b29b12b5164,2026-01-14T11:03:33Z,
ad-fld-001252,ad-frm-000483,Sandy Knoll,inactive,false,53.8,ce4b2a05-8267-485b-83fb-f38cbfdb2f20,2025-11-12T16:50:11Z,2026-04-06T17:20:20Z
ad-fld-000116,ad-frm-000048,Dryland North,active,false,24.0,ad0ae28c-672e-4ff8-b620-944543a74576,2025-09-24T14:33:04Z,2026-04-30T19:53:19Z
ad-fld-001339,ad-frm-000528,Creek Field,active,false,32.1,00000000-0000-0000-0000-000000000000,2026-04-23T16:21:14Z,
ad-fld-000639,ad-frm-000260,Big Field,active,false,,5ff53970-7082-4cda-9e42-406fcd7d48f7,2025-11-12T07:18:20Z,
ad-fld-000723,ad-frm-000292,Dryland South,active,false,35.1,de64ec3d-58ff-4d96-8e6d-7f4aebf12fc0,2026-03-05T12:32:54Z,
ad-fld-000184,ad-frm-000073,Flat 120,active,false,18.3,e302f4df-0d14-4ce9-8cac-846518fb8ba7,2024-11-13T06:16:20Z,2026-06-16T23:27:39Z
ad-fld-001122,ad-frm-000429,Slough Field,active,false,62.8,e5cc502e-5859-4976-9ae9-f6951c0bf0cf,2026-04-20T16:41:29Z,2026-05-24T22:58:55Z
ad-fld-000667,ad-frm-000271,Triangle,active,false,34.8,166f34c5-2647-420d-81db-e263dce5c22e,2026-04-24T10:27:41Z,
ad-fld-000490,ad-frm-000198,Pivot 1,active,false,61.7,d8385572-6cc0-4666-8748-68a6b5c874db,2025-06-12T06:12:21Z,
ad-fld-000115,ad-frm-000047,Bench Field,active,false,73.9,f556ee81-2092-4fb4-8ed5-56bb0c391557,2025-04-23T12:23:35Z,
ad-fld-001085,ad-frm-000419,West 160,active,false,81.7,214dda3d-359f-4026-8535-61ec265f670f,2026-04-23T22:19:54Z,
ad-fld-000280,ad-frm-000110,Slough Field,active,false,22.6,2fbc99f9-3ffb-4a81-b8ae-361e65ddb8b0,2026-01-15T11:47:53Z,
ad-fld-001043,ad-frm-000404,Highway Field,active,false,121.2,,2026-01-15T12:32:12Z,
ad-fld-000291,ad-frm-000115,Home Field,active,false,30.9,c999ac1b-9a3f-4f06-b1a3-ea4c60b46cb4,2024-11-14T07:42:35Z,2025-03-07T18:19:23Z
ad-fld-001009,ad-frm-000393,Pivot 3,active,false,22.4,7eeefb1f-927e-47fc-9e47-2a449aba3b02,2026-01-14T17:02:51Z,
ad-fld-000197,ad-frm-000080,Flat 120,active,false,128.5,4c9d54e6-6175-4ae9-bb5e-2a5211302475,2025-06-09T08:43:53Z,
ad-fld-000347,ad-frm-000140,Big Field,active,false,96.0,73b7078b-8d7f-4398-a1b7-e16555265273,2026-04-23T23:05:50Z,
ad-fld-000332,ad-frm-000132,Dryland North,active,false,16.5,,2026-01-13T17:34:19Z,2026-02-04T20:13:53Z
