farm_id,grower_id,farm_nm,stat_cd,country,state_prov,entrpr_guid,crt_dt,upd_dt
50065,20037,Prescott Home Ground,A,United States,Missouri,89e3a49c-93f6-49ec-8c50-e4e34f5afde1,2015-11-01,2025-11-02
50318,20169,Kowalski Prairie Homestead,A,United States,Illinois,874dccb0-293d-4e2a-b167-9c514e0fd407,2010-01-24,2024-03-01
50572,20355,Prescott New Ranch,I,United States,Kansas,0f39b0cf-282b-4bdb-9f28-3f554c444032,2019-09-23,2020-12-16
50051,20031,Reyes Ridge Ranch,A,Canada,Ontario,0e5bcfe2-3d14-4754-902a-c7f9d176d439,2020-03-26,2021-11-08
50378,20203,Boudreau South Place,A,United States,Nebraska,9c80f462-273b-4bf1-880b-a3f2310fcb9a,2021-03-17,2022-07-19
50577,20360,Hartley Old Homestead,I,Canada,Ontario,765bf1c9-fb3e-4cd2-8bca-211d69c33cd7,2012-03-06,
50242,20130,Prescott Valley Homestead,A,United States,South Dakota,355d9880-7187-4468-a2d2-a7925e35e816,2010-02-20,
50558,20341,Albrecht New Section,I,Canada,Ontario,b2ab99b4-857c-49f8-8a50-f702edc6a4b0,2020-03-17,2021-08-17
50447,20253,Nordin Lower Place,A,United States,North Dakota,218d2395-9555-4e4c-a4d2-b684436dc581,2010-05-22,2014-11-05
50153,20082,Lockhart South Section,A,United States,Wisconsin,7ae7a2eb-9794-40b4-b805-df62be9724cb,2015-02-24,2016-06-25
50198,20104,Okafor South Ranch,A,United States,North Dakota,7605edea-86c0-4764-b351-c0868a2152cd,2017-03-03,
50263,20140,Yoder Old Farm,A,United States,Minnesota,db88d6bd-31b3-401f-8473-51361a8cf201,2021-12-14,2024-03-05
50549,20332,Brenner Creek Homestead,A,United States,Kansas,b4749688-5a2d-4549-8b82-628f4936046d,2015-11-18,
50540,20323,Yancey West Ground,A,Canada,Alberta,2fdbf07c-dcd0-4fc4-8073-38a2b276c2c1,2016-10-26,
50173,20092,Oberlin Lake Quarter,A,United States,Kansas,db0c1beb-f5bd-4592-a33c-bca27f0e4476,2012-10-11,
50298,20160,Kowalski Old Ranch,A,United States,Kansas,23ce10a7-eda4-480e-9e5e-04b74d9d6ab1,2010-02-13,2021-07-09
50150,20081,Merriweather Valley Section,A,United States,South Dakota,3a87c288-21ce-489f-bdc5-042a05f43913,2014-11-03,2017-11-10
50608,20391,Holloway Ridge Homestead,A,United States,Ohio,28cab878-92a0-4592-91ad-481abe09d023,2016-03-23,
50056,20033,Ashworth Lake Ranch,A,United States,Minnesota,41b59379-f3f5-4c4d-b6d5-beb2cc7144cb,2021-01-21,2022-11-19
50412,20222,Oberlin Old Section,A,United States,Kansas,27ce7c2b-ac9c-412d-b354-e63a32d6a4ec,2014-11-10,2016-02-05
50225,20121,Delacroix Lake Place,A,United States,North Dakota,1e559301-ce05-4d4c-9194-167dd7a3376e,2023-03-10,
50018,20011,Kowalski Creek Ranch,A,United States,Illinois,11c9f8ae-cfe2-4b85-8e3a-9a5490bba23f,2018-09-15,2019-01-29
50114,20063,Hummel Hilltop Place,A,Canada,Alberta,b976f309-34bd-4906-a29b-86521a1a3626,2011-07-14,2026-03-18
50408,20220,Duval New Ranch,A,United States,Kansas,c38eb22d-81ea-4b41-bf49-0daf77d234ea,2012-07-11,
50311,20166,Callahan South Ranch,A,Canada,Saskatchewan,bd9dbb55-2b0a-46e7-935c-d46b87a962dc,2010-11-14,2013-04-01
50325,20173,Duval Creek Ground,A,Canada,Manitoba,f0019ce6-afc0-4475-b279-f0e62595d380,2016-10-02,2023-07-10
50170,20090,Whitaker Creek Homestead,A,United States,Ohio,11c17ad5-e44e-481a-a9f4-a7b6c709d611,2019-05-26,2026-04-06
