PARTNER_ID,NAME1,PARTNER_TYPE,LAND1,REGIO,ZZSTAT,LOEVM,ZZEID,ERDAT
0001000240,REYES ACRES LTD,C,CA,SK,02,,e983ba1d-d3aa-41e9-8457-f75cd633a007,2016-01-16
0001000180,CASTELLANO FARMS LLC,C,US,SD,02,,af03a1b6-a435-4725-9451-deb26dc4c11b,2015-07-01
0001000319,MARSH FARMS,C,US,IL,02,,5732e5b5-3c6c-4bea-8b53-4606042cd873,2019-12-22
0001000437,NORDIN B. FARMS,C,US,MO,02,,eb7454d0-80b9-46b3-8133-2ad02506d11b,2017-09-16
0001000145,WHITAKER FARMING CO,C,US,IN,02,,5f1e0e2e-9d4e-4aaa-84ef-ee6303ec61d9,2015-12-24
0001000347,WINTERS & SONS,C,BR,MT,02,,0371989b-6daa-4996-afaa-7389ce3cd735,2023-09-15
0001000095,DIETRICH GRAIN CO,C,US,IL,02,,19c3b869-8421-46c9-b981-4e8c17c25aa3,2012-12-12
0001000265,FERREIRA & SONS,C,CA,AB,02,,d07a787d-561b-47c0-a7ce-7c2bac9c112d,2023-03-21
0001000100,DELACROIX AGRI PARTNERS,C,US,NE,02,,54d0a098-dbef-4d3b-86f2-3ceca4cf66d3,2012-10-30
0001000363,LOCKHART LAND & CATTLE,P,US,ND,02,,e5275166-b091-4930-9060-86ba1e1a0318,2017-12-17
0001000412,IVANOV C. & SONS,C,US,MO,02,X,2f4b9705-f55d-4e9c-babf-07575693c2bd,2015-12-24
0001000280,DUVAL FARMS,C,US,MN,02,,d5f419bd-a137-4099-af95-b8ecfb355946,2023-03-07
0001000225,CASTELLANO AGRI PARTNERS,C,US,MN,02,,212767ad-ea88-4deb-9374-a7d5a9f9a88c,2011-05-09
0001000372,STEINER AGRI PARTNERS,P,CA,AB,02,,f35e92bc-b128-4637-abcf-80ef190202a2,2023-10-05
0001000023,KOWALSKI FARMING CO,C,US,IN,02,,544ba1f2-f269-4d84-9ce6-dac9cb4e7900,2009-07-04
0001000337,BERGSTROM FAMILY FARMS INC,C,BR,MT,02,,a2a55760-493e-4eb5-ad77-4c84111d5c46,2019-01-25
0001000108,DIETRICH FAMILY FARMS INC,C,US,IL,02,,703161fa-80af-4e5e-8d49-402f5b080844,2012-08-02
0001000286,OKAFOR FARMS,C,US,MN,02,,c521759d-f8cf-4aa3-85c3-1f0b66ba8f93,2023-10-08
0001000441,JABLONSKI L. FARMS LLC,C,US,ND,02,,874892c8-65de-47f1-9249-e46b427d2acb,2021-03-01
