PLOT_ID,FARM_ID,PLOT_DESC,AREA_HA,LAND1,ZZSTAT,LOEVM,ZZEID,ERDAT
0004500642,0002000235,RIVER BOTTOM,,US,02,,407e7a04-1a59-42af-af62-8012802907f5,2025-02-13
0004501273,0002000534,SANDY KNOLL,31.8,US,02,,1f0a35d7-c4a2-4c17-a6c1-888075a922be,2010-02-26
0004500685,0002000249,DRYLAND NORTH,21.8,US,02,X,8075ae73-2cb9-4a95-ae0b-311faeffe675,2023-12-11
0004501211,0002000517,NORTH 80,81.5,US,02,,,2023-03-02
0004501526,0002000625,DRYLAND SOUTH,55.1,US,02,,17d69f5f-1a9e-4b3b-890f-4decc536ed06,2012-11-18
0004500648,0002000237,TRIANGLE,,US,02,X,a2c626f4-86f0-48fe-a04d-1d7bac7cc8fe,2025-06-05
0004500977,0002000356,PIVOT 1,89.9,CA,02,,69b75433-e3de-4cf8-b9c5-b4dcf316470c,2015-05-01
0004501251,0002000528,EAST QUARTER,74.9,US,02,,488c37a4-0d57-4c66-b7d5-b3ef52134573,2017-05-28
0004501578,0002000654,BIG FIELD,88.9,CA,02,,c4185ca3-f179-490b-9a84-b7d8556577c5,2022-03-10
0004501520,0002000618,FLAT 120,18.0,CA,02,,366cd000-fd55-4a84-b65e-5ac6fdce7b9f,2020-02-01
0004500615,0002000223,WEST 160,50.0,US,02,,5fe46ce3-1af6-479d-a027-02e59b8d8ca2,2021-05-25
0004500793,0002000285,ROCK PILE,62.8,US,02,,f271cc67-146e-4826-a3fc-b1f3cefa6fd6,2013-10-10
0004500474,0002000169,SANDY KNOLL,52.5,CA,02,,5fc2e231-83b6-40b0-9db1-c3f1a3c31ce5,2018-08-01
0004501305,0002000543,TRIANGLE,78.4,US,02,,73349fa7-1b33-4d12-a9d0-d09c708eb309,2013-01-25
0004500692,0002000252,SOUTH 40,27.7,US,02,,2601b0e2-721d-4a71-9a68-5980e3da1a64,2015-11-04
0004500388,0002000139,ROCK PILE,100.9,CA,02,,287d9a63-27f9-4a01-9f80-5a22f9ed7e1b,2017-01-16
0004500519,0002000185,RIVER BOTTOM,88.2,CA,02,,ebf415a5-a6e4-4dd1-980c-84d35a7db3d6,2022-05-14
0004501312,0002000545,HIGHWAY FIELD,77.8,CA,02,,fae5356c-ec2d-4531-9125-1a1de0b910e6,2013-09-27
0004501639,0002000686,OLD ORCHARD,45.7,US,02,,21cd8a30-daa3-44ee-86d2-98b0651117f8,2012-07-27
0004501555,0002000643,EAST QUARTER,8.0,US,03,,f345561a-3c8d-42fd-a8be-dfdf098c73f0,2023-11-23
0004501374,0002000565,FLAT 120,48.9,BR,02,,901c0499-6fe8-4657-a32b-295148a4afd9,2022-11-15
0004501468,0002000590,DRYLAND SOUTH,51.5,BR,02,,942703ac-ab26-4d8d-b099-c041845223df,2025-06-29
0004500624,0002000230,DRYLAND NORTH,37.6,US,02,,83986a8f-078c-424d-96f7-e015d15c21fd,2011-03-05
0004500609,0002000225,ROCK PILE,37.7,US,02,,1bccb03a-87a3-476c-92e7-2637482b7831,2014-07-17
0004500976,0002000352,HIGHWAY FIELD,125.3,US,02,,40754400-ed3e-4c5b-a5e7-5c95bd989b12,2011-10-29
0004500014,0002000005,HOME FIELD,121.0,CA,02,,2122ee8f-10d7-489f-9987-2e361c15f4bc,2016-05-12
0004501444,0002000584,FLAT 120,,BR,02,,cc928b74-999e-45ca-b2ce-c7dc18440d79,2011-06-19
0004501535,0002000634,PIVOT 3,66.1,CA,03,,7ab332a7-95a2-4350-a438-cc5a7c6660a6,2023-02-24
0004500831,0002000299,BACK 40,6.2,US,02,,0fb6a340-21a8-40ca-845d-b3e4cceb104b,2025-03-16
0004500890,0002000323,PIVOT 1,54.4,US,02,X,8bd85e39-13da-4bca-aa55-456ea34586a7,2013-12-24
0004500843,0002000306,SCHOOLHOUSE FIELD,87.9,US,02,,446a0f98-39ad-4f8a-8f87-863239aafe5e,2017-11-16
0004501562,0002000646,OLD ORCHARD,79.4,CA,01,,85996586-f7c5-4741-90a9-24d622e3f446,2010-09-24
0004500181,0002000065,TRIANGLE,125.2,US,02,,eef1e076-f53b-4079-a2e0-513428db7649,2016-06-11
0004501405,0002000573,WEST 160,28.5,BR,02,,52319803-83b2-402b-bd0a-2c0d0984a3f3,2020-09-16
0004500595,0002000217,BACK 40,93.5,US,02,,12757985-9257-4d7f-b0fd-ac4ede453f3e,2010-05-19
0004500199,0002000072,PIVOT 3,103.0,CA,02,,7887be23-f526-407a-857d-4757b3d4df28,2018-02-21
0004500771,0002000278,BIG FIELD,11.8,US,02,,1f6a7470-ee3d-41b1-b26c-78c514e68338,2025-03-24
0004500210,0002000077,CREEK FIELD,70.5,US,02,,ba752d20-3259-4b4b-8824-5c8f77bdb948,2013-11-05
0004501158,0002000497,CREEK FIELD,46.6,CA,02,,,2024-10-29
0004500620,0002000227,WEST 160,11.0,CA,02,,29f712f1-66c4-4800-bf31-423a79581eb0,2024-08-07
0004501365,0002000561,PIVOT 1,49.0,BR,02,,649571b9-e20e-4f32-b7b2-a8b14f2f5a63,2011-01-05
0004500320,0002000115,HOME FIELD,30.9,US,02,,c999ac1b-9a3f-4f06-b1a3-ea4c60b46cb4,2017-12-05
0004501496,0002000598,CORNER PIECE,106.6,BR,02,,a9bf6f1e-194e-4253-9c83-c9e61c8a52c4,2011-08-07
0004500096,0002000037,SCHOOLHOUSE FIELD,113.0,CA,02,,d4e8a4ee-9b3a-4cf4-9d12-641d9cbb9da1,2017-03-25
0004500929,0002000339,TRIANGLE,40.8,US,02,,fb87679a-2b74-420a-903a-176e989f08ff,2013-11-12
0004500297,0002000108,DRYLAND NORTH,93.4,CA,02,,9d6c204b-df4f-4c24-974d-b7d54bc10e14,2011-02-03
0004500414,0002000148,HOME FIELD,58.8,US,02,,679b6485-3ac1-4439-9bc7-2a0898413ae1,2020-01-11
0004500563,0002000207,SCHOOLHOUSE FIELD,81.4,CA,02,,868d7353-63ea-4077-b0fc-1d1764504434,2019-07-06
0004500036,0002000014,EAST QUARTER,49.1,US,02,,1718238b-2c8d-4176-b12e-6fbca647dee7,2014-07-18
0004500723,0002000264,PIVOT 1,26.7,US,02,,91849235-73ee-4abb-896d-13e31ea7342d,2018-09-01
0004500154,0002000056,SCHOOLHOUSE FIELD,88.9,CA,02,,2a43d9d2-ab91-4288-b38c-9004c1179b14,2012-10-23
0004501214,0002000517,PIVOT 1,125.1,US,02,,400b5698-22a8-41cf-882e-7bdcc4866721,2024-04-27
0004500222,0002000080,HIGHWAY FIELD,51.7,US,02,,4cb28aa2-12f2-465a-9d1f-a68ed8ed3875,2017-02-08
0004500603,0002000221,SLOUGH FIELD,117.4,CA,02,,4f48607f-b98f-4665-9e3d-595c3ce5ceaa,2014-07-20
0004501166,0002000501,PIVOT 1,57.2,US,02,,d7ec0bd6-01ed-40f0-ac70-22885adb8934,2018-07-26
0004501228,0002000522,CREEK FIELD,7.9,CA,02,,5b66b018-4aab-4288-8c22-9b3d3b664e3c,2025-02-16
0004501593,0002000663,PIVOT 3,76.1,US,02,,b84b18bb-34d7-44d2-af0f-0845c1e1c11e,2015-05-13
0004500835,0002000302,BIG FIELD,30.1,CA,02,,0ec9d39e-46da-45cc-bdd2-e51b355d97ec,2011-02-20
0004500533,0002000192,CORNER PIECE,6.0,US,02,,ae70d2e9-5272-4367-96c4-918c726140e9,2025-08-27
0004500812,0002000293,SOUTH 40,46.6,US,02,,7e3bdfda-89e1-4d9d-bce6-de3c94135c7c,2016-05-12
0004500422,0002000151,RIVER BOTTOM,82.9,CA,02,,cbbaba12-0f2e-4795-878c-a3e93e5e37da,2021-07-02
0004501548,0002000639,BENCH FIELD,111.3,US,03,,03aae3b2-eb30-431b-a53e-43def4f02aee,2013-10-13
0004500686,0002000249,PIVOT 3,,US,02,,63bdb209-bcc3-471d-81a6-dc7c35ece06d,2021-02-21
0004500466,0002000166,PIVOT 3,25.9,US,02,,3d5d342d-f9ba-4781-a9a7-40481658cab2,2016-11-10
0004500582,0002000213,LONG STRIP,54.8,US,02,,8b4919e5-7567-4d6a-bb8a-fb2c10f6f664,2018-01-12
0004500435,0002000156,RIVER BOTTOM,15.9,CA,02,,8efd47b9-e8ca-4dd4-88b0-7bdc515c5cb7,2024-04-16
0004501516,0002000614,EAST QUARTER,36.2,US,02,,fa546f38-f552-4be8-a41c-ce73ad21bf6f,2018-08-20
0004500635,0002000232,WEST 160,7.2,US,02,X,afa0664d-fb01-4075-ae8a-77c68b850ac2,2016-12-02
0004500741,0002000268,WEST 160,28.5,CA,02,,15a8bd07-b69b-4646-b58d-fef74b182a65,2013-03-20
0004501170,0002000504,DRYLAND SOUTH,56.6,US,02,,3feca50c-08ba-4239-afbb-0585cd582264,2017-11-12
0004501261,0002000531,OLD ORCHARD,37.8,CA,02,,2135d6ab-0825-4248-ac3d-aff52011bcbc,2021-12-23
0004501183,0002000508,TRIANGLE,68.5,US,02,,47ed4694-7ea2-4797-acef-84094ca5322a,2010-07-17
0004501533,0002000632,SOUTH 40,69.6,US,01,,d4f9918f-bcd6-4b70-bb83-122d5ead265b,2015-03-13
0004501323,0002000549,FENCE LINE 60,58.1,CA,02,,ab68e0b2-b96e-4575-9b81-39430f2e29c7,2013-07-24
0004501574,0002000651,RIVER BOTTOM,5.8,US,03,,ea39414d-9fc2-4235-81d8-f80d7834657e,2012-09-09
0004500859,0002000310,SCHOOLHOUSE FIELD,74.6,US,02,,1dba2a47-0248-4f18-9960-59783c70bd3d,2012-11-30
0004500755,0002000272,SLOUGH FIELD,117.1,US,02,,e497b1d4-fefb-423b-ac15-8cfaaa93f28f,2014-02-26
0004500247,0002000091,PIVOT 2,116.1,US,02,,bdeb48f4-2034-4e34-8e11-e18e3f78f9af,2014-07-09
0004501436,0002000582,PIVOT 1,,BR,02,,c43a507c-7a33-44c1-a97a-475071baace7,2018-06-08
0004500989,0002000359,BACK 40,78.6,US,02,,8fbbec24-a0a7-4670-a4a8-dba21a6fff7e,2010-01-15
0004500790,0002000285,FENCE LINE 60,118.5,US,02,,0fd2b892-b013-4af3-9098-0e1b067ac852,2011-06-28
0004500804,0002000290,CORNER PIECE,25.1,US,02,,af1444ab-91ab-46a4-b4fc-108153582fcc,2014-06-21
0004500251,0002000090,ROCK PILE,93.7,US,02,,766636c2-d2ca-405d-8008-14f7c42116c5,2018-02-09
0004500922,0002000335,RIVER BOTTOM,22.8,US,02,,ce14c316-9ad7-4e0b-a81c-9818ebac129d,2012-01-03
0004500330,0002000119,WINDMILL FIELD,10.2,US,02,,964ccbda-a37c-4a8c-b3fc-7d02beeb8e00,2025-08-17
0004500725,0002000264,HOME FIELD,41.8,US,02,,2beee576-dbe6-4f9c-8003-54866a151d8c,2022-07-07
0004501233,0002000523,WINDMILL FIELD,33.1,US,02,,47d9acd5-c853-4a92-9766-65180b9d0843,2024-07-30
0004501508,0002000601,SOUTH 40,14.8,BR,02,,33cbff81-48d4-4787-b370-7c88830acbfa,2018-05-29
0004501627,0002000679,BENCH FIELD,26.8,US,03,,9415b51b-5d70-4623-8952-5dd67fe3279e,2019-04-10
0004501289,0002000539,BENCH FIELD,119.7,US,02,,8b371578-78b3-428e-abe6-d22b2dc38655,2021-11-16
0004500508,0002000182,WEST 160,116.7,US,02,,d43b880f-4d0d-4ec7-b352-538bf39409e6,2012-05-31
0004501227,0002000522,NORTH 80,49.0,CA,02,,01d81044-8653-4c62-8135-85b7aef0fedf,2011-03-15
0004501126,0002000486,SOUTH 40,121.6,US,02,,4599e804-de53-40c1-8c30-6a9f7421d187,2021-01-16
0004501490,0002000597,DRYLAND NORTH,73.9,BR,02,,5b0496e2-8eb5-42b8-a700-5bd2ce9b44cf,2017-11-05
0004501036,0002000428,DRYLAND NORTH,106.3,US,02,,,2013-04-15
0004500587,0002000214,BACK 40,88.0,US,02,,21f7d401-164c-47af-981f-e326c12d1706,2015-12-27
0004500362,0002000129,SANDY KNOLL,78.8,US,02,,786011f4-1833-4a49-ae1c-f99f1c7c6972,2011-03-09
0004500993,0002000361,SLOUGH FIELD,129.4,CA,02,,7df17cd8-69a9-4941-8426-ada064334d0e,2023-11-20
0004501413,0002000575,EAST QUARTER,54.6,BR,02,,3d86428d-ba40-49d5-accf-0713e002fee4,2018-06-07
0004500353,0002000126,CORNER PIECE,,US,02,,3162fcb1-1458-46b3-978c-cb748580a5e6,2017-10-21
0004500996,0002000360,PIVOT 3,40.1,CA,02,,1739c933-067d-426c-9e93-3598ac65e42f,2015-10-19
0004500797,0002000288,SCHOOLHOUSE FIELD,36.0,US,02,,1ec5fcd0-9561-4a24-adf9-af0475f08568,2011-07-22
0004500285,0002000103,HOME FIELD,41.5,CA,02,,e010f308-a029-4304-a1b1-c169a3d0dc88,2015-12-22
0004500008,0002000001,DRYLAND NORTH,,US,02,,97478964-d3da-4f68-85c1-e80ebf560f73,2011-12-09
0004500223,0002000080,CORNER PIECE,,US,02,,4a9b1aa9-8bc2-49f6-8f4f-97d0ca8e777e,2021-06-02
0004500957,0002000347,BACK 40,,US,02,,3fd78cc8-a55e-49ac-8f96-11079d391936,2025-09-29
0004501463,0002000588,ROCK PILE,71.1,BR,02,,c737ad62-18f7-4b55-86be-495d21404b98,2020-11-01
0004500783,0002000281,CREEK FIELD,82.1,US,02,,10faa3ed-8c6a-48fd-9cf5-84248732a830,2016-08-27
0004501042,0002000441,PIVOT 3,,CA,02,,,2014-06-04
0004500564,0002000205,HOME FIELD,15.5,CA,02,,9ce0da08-55ab-41d1-ade1-1d28dd71ef2b,2017-02-23
0004500688,0002000251,BACK 40,10.3,US,02,,4f47267d-e84c-4193-86f7-1618e0968ead,2019-03-28
0004500691,0002000252,OLD ORCHARD,68.1,US,02,,db83b473-afe9-4793-9ba4-b5503a96b304,2015-11-12
0004500589,0002000214,HOME FIELD,98.7,US,02,,597e9472-f59b-4b3a-b6d7-3e3bca69e1e3,2024-11-08
0004500363,0002000128,PIVOT 3,41.6,US,02,,26f78dc9-53e6-4fe2-b958-8d9dbfc5680f,2022-09-14
0004500366,0002000131,WINDMILL FIELD,57.3,CA,02,,624f276a-5c22-4f4d-8b45-5a0e97448794,2021-12-12
0004500547,0002000197,LONG STRIP,,US,02,,6bc7badb-93e4-480d-9c11-86d58cb29363,2020-10-27
0004500401,0002000144,DRYLAND SOUTH,19.6,US,02,,8733c76c-09d3-43f5-a82c-460505303117,2023-01-03
0004500198,0002000071,PIVOT 2,69.3,US,02,,cd786e64-6d2e-4db6-bac4-b6f1aef3e701,2012-12-01
0004500117,0002000043,WEST 160,61.9,CA,02,,fe015c3b-8212-47ce-a9d2-5eb53db69680,2017-01-20
0004500337,0002000121,SANDY KNOLL,49.0,US,02,,1dddcdd6-5042-42ce-b7a6-73fcd2da3931,2013-10-25
0004501601,0002000668,DRYLAND SOUTH,58.4,US,02,,d710542d-b5a9-4e42-b146-342761dabdb6,2014-04-29
0004501363,0002000561,DRYLAND SOUTH,77.3,BR,02,,989e2671-c72f-4293-b859-2dccd45e4ce5,2010-11-10
0004500562,0002000204,EAST QUARTER,58.9,US,02,,e6b26b76-a29e-4871-883d-68ea7e0849c0,2022-09-20
0004500602,0002000222,HIGHWAY FIELD,104.4,CA,02,,da4686c2-9321-4605-8ea8-900d665e9c5b,2012-06-20
0004501154,0002000496,SOUTH 40,124.1,CA,02,,ec5c4961-81b0-4818-9505-7dc0aafdb35b,2012-07-07
0004501532,0002000632,SCHOOLHOUSE FIELD,58.7,US,01,,4eb5c814-86c6-45e9-b510-b6a82fc0a094,2011-12-27
0004501162,0002000499,BACK 40,71.5,US,02,,85b88d00-3a65-49ae-8b66-74c2c0ea1b14,2018-09-02
0004500773,0002000280,GRAVEL PIT FIELD,,US,02,,b1f2a4a0-1608-474a-89dc-1559eeac6a36,2013-08-24
0004500504,0002000181,SOUTH 40,9.7,US,02,,9ae109c0-1bb7-4667-9c00-b09b77f03ee5,2020-08-01
0004500268,0002000096,EAST QUARTER,75.0,US,02,,46a556cd-d746-4b73-baed-10cad1f50fe6,2018-01-20
0004500093,0002000035,DRYLAND SOUTH,100.0,US,02,,b82be57c-b49f-4c2f-92ea-dee0852e296a,2012-06-11
0004500834,0002000301,BENCH FIELD,82.9,US,02,,24b242ac-84d3-438d-8850-d6177762775b,2022-03-26
0004500527,0002000189,GRAVEL PIT FIELD,7.7,US,02,,75c47c5f-06b7-4de1-8f1f-47128824ded3,2016-05-27
0004500683,0002000250,WINDMILL FIELD,72.8,US,02,,1d366c6a-ee65-4aac-9873-74516799d268,2021-01-26
