farmer_id,farmer_name,status,is_test,country_code,enterprise_id,created_at,updated_at
ad-fmr-000057,Xiong Agri Partners,active,false,USA,0bdd65d6-9f8a-4338-b2bf-740be3f9033e,2025-09-24T09:34:00Z,
ad-fmr-000317,Holloway H. Agri Partners,archived,false,USA,f7b68ac5-1a7a-4249-bf76-48f91608804c,2025-11-12T17:50:04Z,2025-12-21T22:16:32Z
ad-fmr-000301,Duval S. Farming Co,inactive,false,USA,6e49de3c-04b6-4f57-8193-2d2c8aa0a980,2026-04-20T11:08:23Z,
ad-fmr-000149,Kowalski Ag Enterprises,active,false,CAN,edda462c-1d87-4264-8f11-efc1e8a77980,2025-11-13T19:57:22Z,
ad-fmr-000173,Okafor & Sons,active,false,USA,8ac4eea3-f5ba-44ca-9ee6-97c58a7e6a8b,2025-04-23T11:58:50Z,2025-11-03T01:14:57Z
ad-fmr-000154,Iverson Ag Enterprises,active,false,USA,e0d11bce-06a0-4e17-86ac-90cbe34562c3,2024-10-07T17:36:47Z,2025-05-14T11:58:04Z
ad-fmr-000119,Drummond Farms,active,false,USA,ed3d4763-d5bb-4744-b411-fde2eccb1a00,2025-01-13T07:47:51Z,
ad-fmr-000191,Castellano Land & Cattle,active,false,USA,0c206f30-d1c2-4c93-8523-72742066655a,2026-03-05T20:41:59Z,
ad-fmr-000299,Falkner M. Farms LLC,inactive,false,USA,52405d84-7f66-454d-bffb-27e825e06cf1,2025-03-03T19:57:35Z,2026-02-10T05:01:17Z
ad-fmr-000318,Iverson S. Farming Co,archived,false,USA,23c43592-d62e-4094-a437-b98ea2fb2855,2026-01-15T15:04:41Z,2026-04-06T10:34:37Z
ad-fmr-000096,Ziegler Farms,active,false,USA,4c781d07-fce1-4442-9144-25a7299c74fe,2025-11-12T15:01:36Z,
ad-fmr-000212,Thompson Farms LLC,active,false,USA,0a48f092-7b09-4362-ad38-ed7d5cd741bb,2025-01-15T12:23:11Z,
ad-fmr-000058,Rasmussen Farming Co,active,false,USA,e317af08-6332-43fd-9625-6181a22f08fa,2025-03-06T19:01:19Z,2025-06-13T21:51:18Z
ad-fmr-000250,Tollefson Agri Partners,active,false,USA,1789c317-5e9e-428c-8464-47b472f53239,2025-09-24T14:27:16Z,
ad-fmr-000156,Underhill Farming Co,active,false,USA,6e6773f7-dd21-4079-a426-4016317f9e0a,2026-01-14T14:03:29Z,2026-05-07T01:43:43Z
ad-fmr-000274,Dietrich F. Farming Co,active,true,USA,138759b8-deb1-4fbe-99e0-3da822a01495,2025-03-04T16:52:23Z,
ad-fmr-000014,Oberlin Grain Co,active,false,USA,e2dfac12-7717-49fa-9891-f12eab9bea5f,2025-01-14T12:25:41Z,2025-06-16T06:40:14Z
ad-fmr-000033,Albrecht Agri Partners,active,false,CAN,0ea79d69-5813-402e-b8fa-812e17245feb,2025-06-12T14:07:37Z,2026-04-07T23:45:10Z
ad-fmr-000310,Delacroix F. Family Farms Inc,inactive,false,USA,6f472717-c992-49cf-bf6d-a3040e6e7ff3,2025-06-09T12:11:30Z,2025-07-01T16:50:14Z
ad-fmr-000306,Holloway D. Family Farms Inc,inactive,false,USA,c942951c-118b-41d8-ac42-db24de14dfd7,2026-01-14T11:08:40Z,2026-05-05T10:22:24Z
ad-fmr-000247,Falkner Acres Ltd,active,false,USA,bec96ff5-3570-4721-9369-ba1222519984,2025-08-07T10:32:54Z,
ad-fmr-000326,Winters T. Farming Co,active,false,USA,536cf58c-16bc-4eac-966f-e7c203b5e635,2025-09-22T13:00:29Z,
ad-fmr-000091,Ashworth Farming Co,active,false,CAN,4f6f956c-6a13-45a6-b25f-9bd5ee32a81e,2026-01-13T12:07:46Z,2026-03-18T12:44:03Z
ad-fmr-000230,Nordin Farming Co,active,false,USA,0f5c1017-c244-47a7-ba8a-b3f16552ea8b,2025-06-10T10:08:05Z,2026-06-13T10:21:07Z
ad-fmr-000197,Yancey & Sons,active,false,USA,79d9882e-e1cc-4bb5-a5a5-9b01b24cecb7,2025-09-25T12:30:39Z,
ad-fmr-000178,Yancey Land & Cattle,active,false,CAN,8fcfe029-ef42-41e8-8b33-9a3c7c9a025c,2025-08-06T08:54:14Z,2026-06-07T12:14:13Z
ad-fmr-000219,Bergstrom Agri Partners,active,false,CAN,ec1faf05-bf00-410d-a8e0-fd961e4b01a2,2024-11-14T14:23:21Z,2024-12-26T15:15:22Z
ad-fmr-000122,Kerrigan Farms LLC,active,false,USA,f04a1496-38fa-461e-97b3-ecad230c28bf,2025-11-13T06:23:21Z,
ad-fmr-000104,Novak Farms LLC,active,false,USA,d3346837-a77c-4ccc-9154-374f35d41d75,2026-04-22T13:15:07Z,
ad-fmr-000302,Falkner M. Farms,inactive,false,USA,f06307e9-43c8-4f82-ad81-96f5613c9146,2024-11-13T06:45:51Z,2026-05-09T05:21:29Z
ad-fmr-000248,Okafor Farms LLC,active,false,CAN,c4b4f1f3-9c67-450b-97f8-170666391e87,2025-11-13T19:12:01Z,2025-12-08T07:01:30Z
ad-fmr-000201,Lockhart Acres Ltd,active,false,CAN,989fbb21-9455-4ab7-8642-a31348e51e6e,2025-08-07T20:22:32Z,
ad-fmr-000289,Oberlin J. Agri Partners,inactive,false,CAN,a81b5bf0-2aa9-4101-83a0-738016c457ba,2025-06-10T20:11:49Z,2025-12-26T14:34:04Z
ad-fmr-000107,Dietrich & Sons,active,false,USA,6a9491a6-8f86-4e5d-8dcd-1cca45fc5a79,2025-11-10T15:17:49Z,2026-03-19T18:51:01Z
ad-fmr-000027,Rasmussen Farms LLC,active,false,USA,9056148e-64e4-47e1-8ba7-50b1bfb09536,2026-04-20T16:18:23Z,2026-05-22T11:00:04Z
ad-fmr-000206,Lockhart Farms,active,false,USA,f641a204-5786-4925-9ed3-3c69135baa9e,2026-01-15T12:06:28Z,
ad-fmr-000098,Yoder Agri Partners,active,false,USA,7ecdec21-304b-45d1-870b-62387c977f57,2025-08-06T07:01:25Z,
ad-fmr-000070,Merriweather Family Farms Inc,active,false,USA,7fca4430-5873-4185-9967-5c9ca50fd5a4,2025-09-25T11:35:03Z,
ad-fmr-000147,Marsh Grain Co,active,false,USA,b719b80a-bd49-4ee5-ac11-423abdac34f6,2026-04-22T19:11:36Z,2026-06-08T03:21:32Z
ad-fmr-000254,Ashworth Ag Enterprises,active,false,USA,c049a98a-e717-4c35-bbe5-d1987496834a,2025-03-06T17:10:44Z,
ad-fmr-000041,Reyes & Sons,active,false,USA,2a5a522c-1a4c-4586-8ad1-7bed759fd17c,2025-11-13T16:14:42Z,2026-02-02T19:51:07Z
ad-fmr-000130,Merriweather Land & Cattle,active,false,USA,8ba66318-312b-4cd3-bc4c-5c2a4fbef6f2,2025-01-14T13:52:37Z,2025-08-05T03:55:51Z
ad-fmr-000252,Eastman Ag Enterprises,active,false,USA,acff2061-0660-4e89-b278-4f5141bead84,2025-11-13T10:30:24Z,2026-04-16T17:25:06Z
ad-fmr-000097,Nordin Farms,active,false,USA,f169fa01-d317-4a98-867d-576575eb9d49,2026-03-02T11:53:20Z,2026-06-15T05:37:45Z
ad-fmr-000023,Kowalski Farming Co,active,false,USA,544ba1f2-f269-4d84-9ce6-dac9cb4e7900,2026-01-12T20:51:25Z,
ad-fmr-000198,Bergstrom Ag Enterprises,active,false,CAN,77bb6b9d-f684-49fe-b4e7-f2fbf16375c8,2025-11-11T18:53:53Z,2026-02-18T17:20:40Z
ad-fmr-000031,Whitaker Family Farms Inc,active,false,CAN,b61d6ed4-f0ca-4c59-b9e3-6e32907c5acb,2024-10-05T09:35:37Z,
ad-fmr-000155,Brenner Acres Ltd,active,false,USA,9b29a003-e7ba-445d-9be0-e722db22fd82,2025-06-12T07:46:50Z,2025-10-04T14:48:28Z
ad-fmr-000305,Duval D. Farms LLC,inactive,false,USA,5b59a774-dfb5-4916-a099-eca3b187ff23,2024-10-06T13:31:42Z,2024-10-25T04:39:32Z
ad-fmr-000257,Marsh Farms,active,false,USA,5732e5b5-3c6c-4bea-8b53-4606042cd873,2024-10-07T11:36:47Z,
ad-fmr-000151,Crenshaw Agri Partners,active,false,USA,7f3d6620-8e73-43b5-8b0d-1a19e637d1eb,2025-11-12T07:06:10Z,
ad-fmr-000115,Delacroix & Sons,active,false,CAN,6c662fa7-7522-4fbc-a199-16f5032602b3,2025-09-24T11:49:55Z,2026-05-20T18:12:37Z
ad-fmr-000262,Brenner D. & Sons,active,true,CAN,586b04be-74a5-4081-9904-5e396f69a886,2025-01-14T08:00:32Z,
ad-fmr-000223,Nordin Agri Partners,active,false,CAN,97dba5c6-0260-4d68-bba3-3f375da3cfe3,2026-01-13T17:07:40Z,
ad-fmr-000126,Baxter Acres Ltd,active,false,USA,776f5b98-d8df-4692-8dcd-8e250c0bf8bb,2026-04-21T14:58:36Z,
ad-fmr-000316,Delacroix R. Family Farms Inc,inactive,false,USA,b7d1700f-b8a9-4911-9ab0-2126952d834c,2025-11-11T07:38:45Z,
ad-fmr-000221,Baxter Land & Cattle,active,false,USA,1ef32b7b-bb98-4d9c-846b-a46462f6a912,2026-04-20T09:50:44Z,
ad-fmr-000276,Albrecht K. Acres Ltd,active,true,USA,ceeb1101-7a34-4b19-a8ef-0af8bcb29342,2025-03-03T08:16:32Z,
ad-fmr-000253,Hartley Farming Co,active,false,USA,e02b5cc2-93cd-4744-bb54-f8889599ef5f,2025-06-11T08:58:56Z,
ad-fmr-000004,Holloway Acres Ltd,active,false,USA,14e4fa29-646e-4926-b894-738c2bdd7568,2026-04-22T14:56:59Z,2026-05-06T22:04:11Z
ad-fmr-000148,Ashworth Farms LLC,active,false,USA,9425e50e-f71e-4f4d-b0cc-80aa8dbeaa2e,2024-10-06T18:35:06Z,2026-02-21T02:37:32Z
ad-fmr-000239,Crenshaw Family Farms Inc,active,false,USA,c9cbfa98-ac9f-4ed0-8beb-5e2bdcdffa4d,2026-03-02T09:01:00Z,2026-06-22T08:39:59Z
ad-fmr-000103,Ivanov Farms,active,false,CAN,e89d32f4-c537-44d7-89f5-4f7fd50dbc7d,2026-03-02T08:17:25Z,2026-05-13T07:55:37Z
ad-fmr-000295,Underhill N. & Sons,inactive,false,USA,daf023b5-6291-4064-8d8e-820718432c8d,2025-11-11T20:37:46Z,
ad-fmr-000144,Thompson Acres Ltd,active,false,USA,d81cc23e-46f6-4c93-97df-25307e376517,2025-04-21T06:27:15Z,2025-11-23T19:49:29Z
ad-fmr-000166,Girard Farms,active,false,USA,53dc5777-5d05-4c1d-ae5a-102516382bd7,2025-11-10T09:50:50Z,
ad-fmr-000165,Steiner Ag Enterprises,active,false,USA,ea21817b-b489-4303-ad0b-87867ae40dc4,2024-10-06T18:48:01Z,2025-03-19T14:31:52Z
ad-fmr-000279,Rasmussen T. Farms,active,true,CAN,d2a085eb-ee84-4b07-8a15-a3d88323c0cc,2025-01-16T11:29:45Z,2025-01-21T16:54:44Z
ad-fmr-000234,Kerrigan Agri Partners,active,false,USA,ee0508f3-069f-4f2c-b6b6-3cf18cb5a699,2025-06-12T08:08:02Z,
ad-fmr-000217,Bergstrom Acres Ltd,active,false,CAN,a8c8498e-e6f5-4474-8846-d3a784af154d,2025-09-22T10:35:39Z,2026-04-24T12:49:19Z
ad-fmr-000334,Whitaker B. Farms LLC,active,false,USA,dcbf9920-b405-41b5-94b3-6121f84795f6,2025-04-24T07:01:25Z,
ad-fmr-000256,Dietrich Farms,active,false,USA,ece3bd64-88df-4de1-ac46-250b482559bd,2026-04-20T18:24:26Z,2026-05-28T06:49:02Z
ad-fmr-000105,Reyes Farms LLC,active,false,USA,1210863e-e666-40d9-bc19-6d22512e4ee4,2025-11-12T08:28:23Z,2026-01-09T05:09:18Z
ad-fmr-000066,Ziegler Farming Co,active,false,USA,28552231-aa3e-4f95-aace-f12f2dce033d,2024-11-11T06:09:58Z,
ad-fmr-000245,Hummel Farms,active,false,USA,ca4ffcb8-b36e-4349-942a-b4d027b1cb0f,2025-01-16T14:46:33Z,2025-06-16T04:02:38Z
ad-fmr-000224,Baxter Agri Partners,active,false,USA,d746bf56-9129-4c2f-9be3-79104c0ede78,2026-04-22T17:09:55Z,2026-06-18T10:37:41Z
ad-fmr-000214,Holloway & Sons,active,false,USA,c92747d4-8b6d-44d3-89e7-cee93cd89685,2026-01-13T07:44:40Z,2026-01-24T03:11:19Z
ad-fmr-000081,Hartley Farms LLC,active,false,USA,ad09e104-b745-4e4f-aadb-99c228f33db4,2024-10-08T19:24:37Z,2026-04-29T02:27:46Z
ad-fmr-000054,Rasmussen & Sons,active,false,USA,0871d49e-dc52-444a-a4c1-b73f849fd147,2025-04-22T20:49:48Z,2025-07-03T00:40:12Z
ad-fmr-000229,Underhill & Sons,active,false,USA,d52fa0fb-e738-4db1-9310-b9b6fcf54e34,2025-01-13T07:46:29Z,
ad-fmr-000095,Dietrich Grain Co,active,false,USA,19c3b869-8421-46c9-b981-4e8c17c25aa3,2026-01-15T07:11:11Z,2026-03-21T20:01:34Z
ad-fmr-000208,Brenner Farming Co,active,false,USA,c114af95-ec19-4454-ad96-6d964f3c0ade,2025-09-25T13:40:32Z,2026-03-28T01:39:45Z
ad-fmr-000282,Ivanov L. Grain Co,active,true,USA,7bcd286a-e879-4087-9427-b7880ae6d249,2025-01-15T20:13:54Z,2025-08-16T10:48:18Z
ad-fmr-000211,Oberlin & Sons,active,false,USA,31f4ec85-9d61-41ca-9d4e-c996046eab50,2026-01-14T07:47:48Z,2026-04-26T12:03:52Z
ad-fmr-000300,Girard C. Family Farms Inc,inactive,false,USA,3ee9ed73-596e-4950-91b6-d988351e5352,2025-11-13T18:23:24Z,
ad-fmr-000269,Marsh D. Agri Partners,active,true,USA,0f869de9-1b35-4b37-9b9f-9a803915d03e,2025-03-06T17:55:40Z,2025-05-31T07:40:16Z
