field_id,farm_id,field_name,status,is_test,area_ha,enterprise_id,created_at,updated_at
ad-fld-001194,ad-frm-000489,Sandy Knoll,active,false,103.8,00000000-0000-0000-0000-000000000000,2026-04-23T10:01:40Z,2026-05-01T13:56:03Z
ad-fld-000247,ad-frm-000104,South 40,active,false,112.8,2117bf93-fcf8-4cd4-a487-2c8932de125b,2025-11-12T06:37:43Z,2025-12-26T19:53:24Z
ad-fld-000375,ad-frm-000158,Flat 120,active,false,15.8,18c82fe7-5273-4d17-a6f5-6a835a08b4c1,2026-04-20T14:49:20Z,
ad-fld-000674,ad-frm-000289,Corner Piece,active,false,59.0,,2025-08-07T20:00:15Z,2026-06-05T07:22:54Z
ad-fld-000893,ad-frm-000362,Bench Field,active,false,96.7,670f8457-0e49-4b02-afa8-e3e51da493b0,2025-11-13T10:20:23Z,
ad-fld-000215,ad-frm-000090,Big Field,active,false,41.9,1ca66023-ef69-425b-9ecd-238f65541582,2026-04-24T15:29:20Z,
ad-fld-001034,ad-frm-000407,Highway Field,active,false,,8c2bbeb9-fef4-4755-b4b0-64475b6d9040,2026-01-14T21:09:32Z,2026-05-08T18:17:47Z
ad-fld-000891,ad-frm-000360,Pivot 1,active,false,26.2,1e10a567-dc98-48ac-9f10-fc3c7037e948,2026-03-04T08:34:04Z,2026-06-08T01:58:41Z
ad-fld-000139,ad-frm-000056,Slough Field,active,false,45.6,315c6311-b2a6-43a0-980e-5d85af55afed,2026-04-23T18:58:49Z,
ad-fld-000675,ad-frm-000291,Highway Field,active,false,92.8,ef49de1a-4bcd-4b93-ac02-3e87b966ec68,2025-03-06T20:02:37Z,
ad-fld-000226,ad-frm-000094,Gravel Pit Field,active,false,98.1,2bd2a369-de66-4bb5-9d56-d263ee166764,2026-01-15T06:31:39Z,
ad-fld-000391,ad-frm-000166,Highway Field,active,false,66.2,5bedac87-9df6-4240-8e55-e6c66e5da94e,2025-04-23T22:45:28Z,2025-11-14T05:27:46Z
ad-fld-000019,ad-frm-000006,Big Field,active,false,109.3,5b32906b-d573-466b-b701-a1d6eb139c3e,2026-04-23T07:47:50Z,
ad-fld-001201,ad-frm-000492,Schoolhouse Field,active,false,10.5,c89d4040-6f70-45a7-9530-b6476851393d,2025-04-22T19:08:32Z,2026-01-09T21:14:46Z
ad-fld-000244,ad-frm-000103,Flat 120,active,false,90.2,a59fed1a-a2b7-4616-9107-14413680eb5e,2026-04-23T06:14:57Z,
ad-fld-000482,ad-frm-000209,Triangle,active,false,69.5,e466da2b-01a8-48a7-88a3-06f41008b48a,2026-04-20T23:52:34Z,2026-06-27T20:22:40Z
ad-fld-000936,ad-frm-000376,Dryland South,active,false,98.1,95dd88af-939a-4ab0-86dd-de714ed49e05,2025-03-04T21:05:12Z,
ad-fld-000749,ad-frm-000314,Gravel Pit Field,active,false,113.3,0955daa7-b4fc-44d8-803c-0f2ede087709,2025-08-06T06:57:20Z,2026-01-05T04:34:45Z
ad-fld-000927,ad-frm-000374,Pivot 1,active,false,39.1,513a618f-8537-4eb4-93bd-25e42b908e1b,2026-03-04T17:28:50Z,
ad-fld-000843,ad-frm-000346,Bench Field,active,false,,,2025-09-25T13:16:38Z,2026-01-03T19:39:33Z
ad-fld-000492,ad-frm-000213,Dryland South,active,false,62.6,8f777741-2567-4112-a288-a1663663abbd,2024-10-08T06:07:06Z,
ad-fld-000438,ad-frm-000189,Corner Piece,active,false,28.1,b568413c-6507-4635-b19b-0513ebdca521,2025-08-07T17:29:57Z,
ad-fld-000656,ad-frm-000282,Creek Field,active,false,,84044cf4-6615-4afb-8df0-5ec47343069c,2026-01-14T06:37:58Z,
ad-fld-000061,ad-frm-000025,Home Field,active,false,27.5,0a8e0780-7d06-4f20-8849-dedb01223b35,2025-03-04T11:11:59Z,2026-04-30T11:17:40Z
ad-fld-000943,ad-frm-000378,Back 40,active,false,4.1,0e312643-a48c-4dd9-bf4c-5462172da9f3,2025-01-13T09:06:27Z,2026-05-08T22:35:25Z
ad-fld-000130,ad-frm-000051,Sandy Knoll,active,false,74.2,c781326b-8144-4a3e-b6da-b53950cfb932,2024-10-08T10:46:50Z,
