grower_id,grower_nm,stat_cd,country,state_prov,entrpr_guid,crt_dt,upd_dt
20161,Vandermeer Farming Co,A,United States,Missouri,4f95be18-6527-47e7-8e4f-b491aa79ff24,2020-05-06,2020-07-16
20072,Iverson Farms LLC,A,United States,Ohio,3e1030f9-92dc-49ef-bcae-abaf6cf9b48c,2020-03-21,
20033,Ashworth Grain Co,A,United States,Minnesota,a7228836-33ec-4f69-a98f-91005f411604,2010-02-10,2021-01-24
20074,Merriweather Ag Enterprises,A,Canada,Saskatchewan,8c847d5d-a73b-417a-95bb-3b9a251a3475,2012-01-08,
20142,Dietrich Ag Enterprises,A,United States,Iowa,f516710f-f608-4ab7-9c24-e1d714884619,2019-11-15,
20232,Boudreau Farms,A,United States,Wisconsin,710cc68e-7dd9-4024-a881-86af9399c7fd,2019-03-19,2021-11-29
20091,Tollefson Family Farms Inc,A,Canada,Saskatchewan,524323a1-6ae9-48b0-ad67-76fd2c54e72e,2011-11-24,2018-09-11
20344,Jablonski N. & Sons,I,United States,Ohio,2ec8a4f2-0d30-4f9c-9cd2-c4feccd9fd62,2019-07-24,2022-06-03
20157,Bergstrom Grain Co,A,United States,Kansas,c4c8b3bd-12fe-4c5d-b5f0-04951d23b11b,2021-07-07,2022-11-07
20110,Rasmussen Land & Cattle,A,Canada,Manitoba,b0f28c26-5019-4171-8763-a9eccb19149b,2019-09-09,2023-09-25
20305,Kerrigan Land & Cattle,A,Australia,Victoria,d409cad5-fb97-4f96-af8b-538f2b58d8df,2019-03-03,2020-12-17
20371,Falkner E. Family Farms Inc,I,United States,North Dakota,91bd103d-5ce0-4d62-9ba5-7bc77af86904,2014-12-27,2017-01-26
20122,Falkner Family Farms Inc,A,Canada,Ontario,7bf6a455-6042-4db8-bb2e-4a3b705de409,2014-03-07,2015-06-04
20147,Novak Grain Co,A,United States,Iowa,7b04e976-a335-4639-a357-b49bf2f3b755,2009-01-07,2010-02-15
20395,Yoder M. & Sons,A,United States,North Dakota,228035e2-b8fe-487d-96f9-5a6a475572b3,2019-07-03,2025-03-31
20226,Ferreira Farms LLC,A,United States,South Dakota,3eaad3f0-216f-42bb-849b-c043ebb2997f,2011-04-05,2019-04-18
20048,Rasmussen Grain Co,A,Canada,Ontario,fe0ad40d-814c-4b3f-b9c6-6026c27ad3fd,2011-07-28,2025-09-30
20329,Winters Land & Cattle,A,United States,Indiana,a4083eef-f5c5-405e-a86a-20cb0c1c4b00,2016-02-06,2023-11-12
20186,Underhill Farms LLC,A,Canada,Manitoba,05477f83-9ea4-4777-a77d-e0ac2970810b,2017-11-20,2026-03-02
20025,Rasmussen & Sons,A,United States,Indiana,d6fe504a-f4ea-473d-9c7f-3aa03e99babe,2016-10-07,2019-12-21
